__v,_id,attributes,authorAddress,description,id,image_url,name,ownerAddress,ownerId,token_id,traits
0,61f626ce2a1979445d40265f,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #8 - Floor #97 - Tower #1 - Standard,244595699,https://lh3.googleusercontent.com/0GXugqFFHedbgsA8khHf2CCpfh0d0XWNUgMvtLn1czAUZXXYbWtYS-HpfyCnwqZazeGpqzRYuA5oCDZWpp2oAt1KK0s3Nabg6bPYO-w,Apt #8 - Floor #97 - Tower #1,0x60377ec355857c2d06d1ce28555f624257344b0d,NullAddress,2206774564966433947166689696507183869586471703389774980152762808247804493825,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""8"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]"
0,61f626cf2a1979445d402661,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #7 - Floor #97 - Tower #1 - Standard,244322912,https://lh3.googleusercontent.com/2lhrisxK-w93oywsvUhoo2u_sooIH4Z9BLJI1i9Qs9rnPO3lYXcCBCUJBeVovEu1w56nwyl_dcDhpIvBrGiJGxys9ytk509xjlefjw,Apt #7 - Floor #97 - Tower #1,0x86508e8c4438456b6568a0613e731400cc8c3950,NullAddress,2206774564966433947166689696507183869586471703389774980152762807148292866049,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""7"",""display_type"":null,""max_value"":null,""trait_count"":87,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]"
0,61f626d02a1979445d402663,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #6 - Floor #97 - Tower #1 - Standard,243765474,https://lh3.googleusercontent.com/SHwzcOfGjQqpxd_pAnVJdipVbXPLb_NFhPWAMKXy3i63HtLCOBiubrzudUThKQS_A2nGSeNan1ZUqnIE3y_LJ8PWNYxiLPBn2KxuleQ,Apt #6 - Floor #97 - Tower #1,0x2b32cda846d80b246e9b8f63bdb7ec2adf26369a,NullAddress,2206774564966433947166689696507183869586471703389774980152762806048781238273,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""6"",""display_type"":null,""max_value"":null,""trait_count"":85,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]"
0,61f626d12a1979445d402665,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #5 - Floor #97 - Tower #1 - Standard,243763165,https://lh3.googleusercontent.com/qixEH8TkgaGaKA7vEZjSvGeOtFY4Qbt7KzWdLr75MuJDSqcXJd6ho_qYnK5030FLZGw1FGTMGmtMsnCdMcgE7i4aZMYACdcdWx2v,Apt #5 - Floor #97 - Tower #1,0x0d552310438a5cb891d6bcd482b2cae3ecf27f04,NullAddress,2206774564966433947166689696507183869586471703389774980152762804949269610497,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""5"",""display_type"":null,""max_value"":null,""trait_count"":87,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]"
0,61f626d22a1979445d402667,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #10 - Floor #42 - Tower #1 - Standard,242806170,https://lh3.googleusercontent.com/O4J7Zs8vMOV4AOSIw1LrlkNXSzAaHEjSMpKGrS1RtBzcN_m3CmZ25wDgn4w17Wu7g_wghT2_6dMnpcrjX4Z9o_WGrrMglAsK3uprMw,Apt #10 - Floor #42 - Tower #1,0x06ae908a3ebb99f70caf27b9f9b52e8056f7df0c,NullAddress,2206774564966433947166689696507183869586471703389774980152762803849757982721,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""10"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""42"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]"
0,61f626d32a1979445d402669,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #22 - Floor #92 - Tower #1 - Luxury,237228673,https://lh3.googleusercontent.com/ja3Jyel2Cx_XpPOnKcawUDABB9HurvIKdKowSe0IPupUa5lIwccnTmUHSjaOnwZ_eluI0dkSAHvAZncoQ4B2FKZLgvkBVGgKdUHvcw,Apt #22 - Floor #92 - Tower #1,0x4ce8d4560a488efdd0da89d9373e931499f578dd,NullAddress,2206774564966433947166689696507183869586471703389774980152762802750246354945,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Apartment"",""value"":""22"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]"
0,61f626d32a1979445d40266b,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #21 - Floor #92 - Tower #1 - Luxury,237226317,https://lh3.googleusercontent.com/a_uioL5o0U1s3TLV7h2DgEhqvGOZyOA0sXzZqWPKJkzudg4SitkjK9p9O1GOrao9KqLgx0WA2X8jFOUEsgGLrhLvlED7VmRAcnYnQQ,Apt #21 - Floor #92 - Tower #1,0x6d2113692857536b8993924d6b66d8409247fbb8,NullAddress,2206774564966433947166689696507183869586471703389774980152762801650734727169,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]"
0,61f626d42a1979445d40266d,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #20 - Floor #92 - Tower #1 - Standard,237223775,https://lh3.googleusercontent.com/Jim4kr7uqDGk33QCG-kCxNwkfRzxucr2Vatb8BzxBFoOjK7nli-cQiC5X9Gcls1FvLk49tdDqsaYhR90jfVDI-qdX08b9ZWxoSiu-g,Apt #20 - Floor #92 - Tower #1,0x0de7a8159ddbec47fc08502d618109d66879e012,NullAddress,2206774564966433947166689696507183869586471703389774980152762800551223099393,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""20"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]"
0,61f626d52a1979445d40266f,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #19 - Floor #92 - Tower #1 - Standard,237219451,https://lh3.googleusercontent.com/pISbg4IBLmHvRpKOkKdA5F_xTOSWFhoAKjA6AYHHXI3KgKXnlMn1MSJojRebqhH-OnZF4q_MJmAeJOo_Eb6LquEmg-KGSUMW1VBFhXI,Apt #19 - Floor #92 - Tower #1,0x2effc23a6f165f63ba9b15cec0c30b03486ad10e,NullAddress,2206774564966433947166689696507183869586471703389774980152762799451711471617,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""19"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]"
0,61f626d52a1979445d402671,[],0x04e0fd79e542254e606aaa5b0752f0773cc7b943,Apt #18 - Floor #92 - Tower #1 - Standard,237215804,https://lh3.googleusercontent.com/So8LiL3i940pJ_6IUEXWX3YC9hka03tATYMKgzzkqyEQ5mXzTuyvwtm4dr-RUZJsCUJ_7f98qVn-kP6sVKQz3Bw2hkya5-GyTyyTiHU,Apt #18 - Floor #92 - Tower #1,0x7c4740c6dbae51b944477e31ee44454e6f56f05d,NullAddress,2206774564966433947166689696507183869586471703389774980152762798352199843841,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""18"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]"
